run_id,bases_supplied,scalars_supplied,effective_pairs
1,519,514,514
1,519,514,514
1,519,514,514
1,519,514,514
1,519,515,515
1,519,513,513
1,519,513,513
1,519,513,513
1,519,519,519
1,519,518,518
1,519,514,514
2,519,514,514
2,519,514,514
2,519,514,514
2,519,514,514
2,519,515,515
2,519,513,513
2,519,513,513
2,519,513,513
2,519,519,519
2,519,518,518
2,519,514,514
3,519,514,514
3,519,514,514
3,519,514,514
3,519,514,514
3,519,515,515
3,519,513,513
3,519,513,513
3,519,519,519
3,519,513,513
3,519,518,518
3,519,514,514
