steps,run_id,direction,label,elements
16384,1,IFFT,a,32768
16384,1,IFFT,b,32768
16384,1,FFT,a,32768
16384,1,FFT,b,32768
16384,1,IFFT,c,32768
16384,1,FFT,c,32768
16384,1,IFFT,ab,32768
16384,2,IFFT,a,32768
16384,2,IFFT,b,32768
16384,2,FFT,a,32768
16384,2,FFT,b,32768
16384,2,IFFT,c,32768
16384,2,FFT,c,32768
16384,2,IFFT,ab,32768
16384,3,IFFT,a,32768
16384,3,IFFT,b,32768
16384,3,FFT,a,32768
16384,3,FFT,b,32768
16384,3,IFFT,c,32768
16384,3,FFT,c,32768
16384,3,IFFT,ab,32768
65536,1,IFFT,a,131072
65536,1,IFFT,b,131072
65536,1,FFT,a,131072
65536,1,FFT,b,131072
65536,1,IFFT,c,131072
65536,1,FFT,c,131072
65536,1,IFFT,ab,131072
65536,2,IFFT,a,131072
65536,2,IFFT,b,131072
65536,2,FFT,a,131072
65536,2,FFT,b,131072
65536,2,IFFT,c,131072
65536,2,FFT,c,131072
65536,2,IFFT,ab,131072
65536,3,IFFT,a,131072
65536,3,IFFT,b,131072
65536,3,FFT,a,131072
65536,3,FFT,b,131072
65536,3,IFFT,c,131072
65536,3,FFT,c,131072
65536,3,IFFT,ab,131072
