steps,run_id,label,points_supplied,scalars_supplied,effective_pairs
16384,1,h_query,32767,32768,32767
16384,1,l_query,16385,16385,16385
16384,1,a_query_g1,16385,16385,16385
16384,1,b_query_g1,16385,16385,16385
16384,1,b_query_g2,16385,16385,16385
16384,2,h_query,32767,32768,32767
16384,2,l_query,16385,16385,16385
16384,2,a_query_g1,16385,16385,16385
16384,2,b_query_g1,16385,16385,16385
16384,2,b_query_g2,16385,16385,16385
16384,3,h_query,32767,32768,32767
16384,3,l_query,16385,16385,16385
16384,3,a_query_g1,16385,16385,16385
16384,3,b_query_g1,16385,16385,16385
16384,3,b_query_g2,16385,16385,16385
65536,1,h_query,131071,131072,131071
65536,1,l_query,65537,65537,65537
65536,1,a_query_g1,65537,65537,65537
65536,1,b_query_g1,65537,65537,65537
65536,1,b_query_g2,65537,65537,65537
65536,2,h_query,131071,131072,131071
65536,2,l_query,65537,65537,65537
65536,2,a_query_g1,65537,65537,65537
65536,2,b_query_g1,65537,65537,65537
65536,2,b_query_g2,65537,65537,65537
65536,3,h_query,131071,131072,131071
65536,3,l_query,65537,65537,65537
65536,3,a_query_g1,65537,65537,65537
65536,3,b_query_g1,65537,65537,65537
65536,3,b_query_g2,65537,65537,65537
